,Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star type,Star category,Star color,Spectral Class
109,33421,352000.0,67.0,-5.79,4,Supergiant,Blue,O
71,3607,0.022,0.38,10.12,1,Red Dwarf,Red,M
37,6380,1.35,0.98,2.93,3,Main Sequence,yellow-white,F
74,3550,0.004,0.291,10.89,1,Red Dwarf,Red,M
108,24345,142000.0,57.0,-6.24,4,Supergiant,Blue,O
227,10930,783930.0,25.0,-6.224,4,Supergiant,Blue,O
156,26140,14520.0,5.49,-3.8,3,Main Sequence,Blue-white,B
220,23678,244290.0,35.0,-6.27,4,Supergiant,Blue,O
152,14060,1092.0,5.745,-2.04,3,Main Sequence,Blue-white,A
194,3523,0.0054,0.319,12.43,1,Red Dwarf,Red,M
76,2890,0.0034,0.24,13.46,1,Red Dwarf,Red,M
202,14982,0.00118,0.0113,12.23,2,White Dwarf,Blue,B
83,17200,0.00098,0.015,12.45,2,White Dwarf,Blue White,B
157,20120,4720.0,6.78,-3.4,3,Main Sequence,Blue-white,B
234,21904,748490.0,1130.0,-7.67,5,Hypergiant,Blue-white,B
134,3542,0.0009,0.62,14.23,1,Red Dwarf,Red,M
184,3453,0.000621,0.0773,17.08,0,Brown Dwarf,Red,M
111,3605,126000.0,1124.0,-10.81,5,Hypergiant,Red,M
221,12749,332520.0,76.0,-7.02,4,Supergiant,Blue,O
8,2650,0.00069,0.11,17.45,0,Brown Dwarf,Red,M
101,40000,813000.0,14.0,-6.23,4,Supergiant,Blue,O
179,24490,248490.0,1134.5,-8.24,5,Hypergiant,Blue-white,B
89,19860,0.0011,0.0131,11.34,2,White Dwarf,Blue ,B
122,3218,0.00054,0.11,20.02,0,Brown Dwarf,Red,M
5,2840,0.00065,0.11,16.98,0,Brown Dwarf,Red,M
22,7220,0.00017,0.011,14.23,2,White Dwarf,White,F
199,3463,0.0027,0.675,14.776,1,Red Dwarf,Red,M
97,7720,7.92,1.34,2.44,3,Main Sequence,yellow-white,F
12,3134,0.0004,0.196,13.21,1,Red Dwarf,Red,M
166,19923,152000.0,73.0,-5.69,4,Supergiant,Blue,O
55,3450,263000.0,1349.0,-11.75,5,Hypergiant,Red,M
44,3008,280000.0,25.0,-6.0,4,Supergiant,Red,M
149,12984,0.00088,0.00996,11.23,2,White Dwarf,Blue White,B
125,3225,0.00076,0.121,19.63,0,Brown Dwarf,Red,M
144,11900,0.00067,0.00898,11.38,2,White Dwarf,Blue white ,B
118,6850,229000.0,1467.0,-10.07,5,Hypergiant,Red,G
145,8924,0.00028,0.00879,14.87,2,White Dwarf,Blue white,A
170,3570,320000.0,1480.0,-7.58,5,Hypergiant,Red,M
64,2935,0.00014,0.116,18.89,0,Brown Dwarf,Red,M
